RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
151,Jessie Bates III,CIN,0,16,0,0,0,0,0,0,0,0,0,3,1,0,7.7,123.5
152,Myles Gaskin,MIA,RB,10,0,0,0,584,3,41,388,2,0,0,0,0,12.3,123.2
153,Kenny Moore II,IND,0,16,0,0,0,0,0,0,0,0,2,4,2,0,7.6,122.1
154,Joey Slye,CAR,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7.6,122
155,New Orleans Saints,NO,0,16,0,0,0,0,0,0,0,0,45,18,7,8,7.6,122
156,Malcolm Butler,TEN,0,16,0,0,0,0,0,0,0,0,0,4,0,0,7.5,120
157,Gus Edwards,BAL,RB,16,0,0,0,723,6,9,129,0,0,0,1,0,7.4,119.2
158,Brian Burns,CAR,0,15,0,0,0,0,0,0,0,0,9,0,3,0,7.9,118.8
159,Vonn Bell,CIN,0,16,0,0,0,0,0,0,0,0,0,0,3,2,7.4,118.5
160,Montez Sweat,WAS,0,16,0,0,0,0,0,0,0,0,9,1,2,0,7.4,118.2
161,Alexander Johnson,DEN,0,16,0,0,0,0,0,0,0,0,1,0,2,0,7.4,118
162,Buffalo Bills,BUF,0,16,0,0,0,0,0,0,0,0,38,15,15,11,7.4,118
163,Jordan Hicks,ARI,0,16,0,0,0,0,0,0,0,0,0,1,0,0,7.3,117.5
164,Tampa Bay Buccaneers,TB,0,16,0,0,0,0,0,0,0,0,48,15,15,10,7.3,117
165,Cooper Kupp,LAR,WR,15,0,0,0,33,0,92,974,3,0,0,0,0,7.8,116.7
166,Justin Simmons,DEN,0,16,0,0,0,0,0,0,0,0,0,5,0,1,7.3,116.5
167,Nick Mullens,SF,QB,10,2437,12,12,8,0,0,0,0,0,0,0,0,11.6,116.28
168,Jarvis Landry,CLE,WR,15,74,1,0,10,1,72,840,3,0,0,0,0,7.7,115.96
169,Khalil Mack,CHI,0,16,0,0,0,0,0,0,0,0,9,1,3,2,7.2,115.9
170,Logan Ryan,NYG,0,16,0,0,0,0,0,0,0,0,1,1,3,2,7.2,115.7
171,Wayne Gallman Jr.,NYG,RB,15,0,0,0,682,6,21,114,0,0,0,0,0,7.7,115.6
172,Tremaine Edmunds,BUF,0,15,0,0,0,0,0,0,0,0,2,0,0,0,7.7,115.6
173,Jon Bostic,WAS,0,16,0,0,0,0,0,0,0,0,3,1,0,0,7.2,115.4
174,J.J. Watt,HOU,0,16,0,0,0,0,0,0,0,0,5,1,2,1,7.2,115.1
175,Mason Crosby,GB,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7.2,115
176,Dustin Hopkins,WAS,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7.2,115
177,Chase Edmonds,ARI,RB,16,0,0,0,448,1,53,402,4,0,0,0,0,7.2,115
178,K.J. Wright,SEA,0,16,0,0,0,0,0,0,0,0,2,1,1,2,7.2,114.8
179,Chase Young,WAS,0,15,0,0,0,0,0,0,0,0,7.5,0,4,3,7.6,114.45
180,Stephon Tuitt,PIT,0,15,0,0,0,0,0,0,0,0,11,0,2,0,7.6,114.35
181,Michael Gallup,DAL,WR,16,0,0,0,0,0,59,843,5,0,0,0,0,7.1,114.3
